"Label (Grouping)","HOUSEHOLD INCOME","HOUSEHOLD INCOME!!All households","HOUSEHOLD INCOME!!All households!!With earnings","HOUSEHOLD INCOME!!All households!!With earnings!!With wages or salary income","HOUSEHOLD INCOME!!All households!!With earnings!!With self-employment income","HOUSEHOLD INCOME!!All households!!With interest, dividends, or net rental income","HOUSEHOLD INCOME!!All households!!With Social Security income","HOUSEHOLD INCOME!!All households!!With Supplemental Security Income (SSI)","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP!!With cash public assistance","HOUSEHOLD INCOME!!All households!!With retirement income","HOUSEHOLD INCOME!!All households!!With other types of income","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!White","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Black or African American","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!American Indian and Alaska Native","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Asian","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Native Hawaiian and Other Pacific Islander","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Some other race","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino origin (of any race)","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!White alone, not Hispanic or Latino"
"        Margin of Error","","±3,538","±4,236","±3,993","±8,203","±4,895","±1,343","±2,293","(X)","N","±2,286","±2,466","","±4,782","±6,460","±4,070","±9,446","±13,467","±16,196","±21,773","","±1,630","","±1,875","±2,800","±12,831","±19,579","N","±7,421","±7,301","±4,958","±1,874"
"Limestone County School District, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","23,958","17,779","16,536","3,467","4,807","8,711","983","1,850","277","8,335","2,780","","16,743","N","N","N","N","N","N","","66,205","","48,554","7,792","292","325","400","1,521","7,321","N","N"
"        Margin of Error","","±1,818","±1,848","±1,962","±1,009","±1,248","±1,559","±687","±966","±319","±1,678","±965","","±1,544","N","N","N","N","N","N","","±3,863","","±4,388","±3,327","±357","±404","±610","±1,764","±2,309","N","N"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","23,958","74.2%","69.0%","14.5%","20.1%","36.4%","4.1%","7.7%","1.2%","34.8%","11.6%","","16,743","N","N","N","N","N","N","","66,205","","73.3%","11.8%","0.4%","0.5%","0.6%","2.3%","11.1%","N","N"
"        Margin of Error","","±1,818","±5.9","±6.6","±4.4","±5.1","±5.6","±2.8","±3.8","±1.3","±5.9","±3.9","","±1,544","N","N","N","N","N","N","","±3,863","","±3.8","±5.0","±0.5","±0.6","±0.9","±2.6","±3.7","N","N"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","91,149","89,639","86,901","45,195","25,813","21,041","11,287","(X)","N","29,677","8,472","","109,276","N","N","N","N","N","N","","33,521","","38,777","21,173","N","N","N","N","17,978","N","N"
"        Margin of Error","","±18,363","±16,748","±13,012","±20,601","±22,615","±1,934","±3,180","(X)","N","±6,212","±5,176","","±25,616","N","N","N","N","N","N","","±6,244","","±8,067","±6,790","N","N","N","N","±6,979","N","N"
"Madison County School District, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","52,170","42,135","40,984","5,446","8,884","15,963","1,817","2,541","318","13,973","7,880","","40,369","5,091","13,960","12,443","3,322","4,606","947","","136,443","","93,897","30,562","832","2,099","0","1,292","7,761","5,212","92,340"
"        Margin of Error","","±2,344","±1,844","±1,961","±1,294","±1,619","±2,080","±694","±1,067","±329","±2,113","±1,632","","±1,985","±1,255","±2,194","±2,268","±1,126","±1,393","±546","","±279","","±4,860","±4,816","±560","±1,116","±216","±1,294","±2,416","±1,969","±4,828"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","52,170","80.8%","78.6%","10.4%","17.0%","30.6%","3.5%","4.9%","0.6%","26.8%","15.1%","","40,369","12.6%","34.6%","30.8%","8.2%","11.4%","2.3%","","136,443","","68.8%","22.4%","0.6%","1.5%","0.0%","0.9%","5.7%","3.8%","67.7%"
"        Margin of Error","","±2,344","±3.0","±3.4","±2.5","±3.0","±3.5","±1.3","±2.0","±0.6","±4.0","±3.1","","±1,985","±2.9","±5.2","±5.2","±2.9","±3.4","±1.4","","±279","","±3.6","±3.5","±0.4","±0.8","±0.1","±0.9","±1.8","±1.4","±3.5"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","118,312","122,990","122,020","33,294","16,352","20,303","8,349","(X)","N","26,487","17,067","","134,028","62,362","111,259","163,461","102,549","227,152","125,684","","44,713","","43,120","51,362","35,800","N","N","26,265","46,302","46,205","43,655"
"        Margin of Error","","±13,564","±16,449","±16,921","±8,285","±8,712","±1,875","±2,622","(X)","N","±4,187","±3,787","","±17,384","±11,480","±31,092","±37,346","±16,378","±49,340","±21,969","","±4,922","","±4,803","±16,739","±25,701","N","N","±8,716","±23,203","±34,540","±4,790"
"Mobile County School District, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","151,911","111,221","106,895","11,814","14,997","53,333","11,485","31,386","2,287","36,178","17,421","","95,800","17,110","36,440","25,764","8,976","5,582","1,928","","385,870","","211,560","142,849","1,424","8,829","0","7,550","13,658","12,671","209,541"
"        Margin of Error","","±2,818","±3,432","±3,581","±1,905","±1,755","±2,305","±1,941","±2,995","±941","±2,965","±1,803","","±3,786","±2,041","±3,705","±3,060","±2,057","±1,431","±697","","±4,604","","±4,183","±3,488","±747","±988","±216","±1,847","±3,339","±178","±4,101"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","151,911","73.2%","70.4%","7.8%","9.9%","35.1%","7.6%","20.7%","1.5%","23.8%","11.5%","","95,800","17.9%","38.0%","26.9%","9.4%","5.8%","2.0%","","385,870","","54.8%","37.0%","0.4%","2.3%","0.0%","2.0%","3.5%","3.3%","54.3%"
"        Margin of Error","","±2,818","±1.7","±1.9","±1.2","±1.1","±1.5","±1.3","±1.9","±0.6","±2.0","±1.2","","±3,786","±2.1","±3.4","±2.9","±2.1","±1.5","±0.7","","±4,604","","±0.7","±0.9","±0.2","±0.3","±0.1","±0.5","±0.9","±0.1","±0.7"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","67,742","69,909","67,703","45,558","17,715","19,558","10,532","(X)","3,753","24,676","10,582","","82,863","45,589","62,447","123,391","95,632","114,205","107,728","","27,480","","33,138","20,430","24,482","23,524","N","20,031","20,574","20,395","33,075"
"        Margin of Error","","±3,133","±3,406","±3,186","±11,147","±7,182","±698","±1,624","(X)","±1,318","±1,885","±1,555","","±4,231","±4,848","±4,487","±8,928","±18,491","±12,085","±30,266","","±1,211","","±1,841","±1,489","±7,507","±6,507","N","±13,517","±4,880","±4,916","±1,882"
"Montgomery County School District, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","89,054","65,341","62,828","8,466","10,548","27,523","5,479","18,963","1,180","20,673","15,855","","54,265","9,974","22,052","12,562","5,186","3,340","1,151","","216,147","","66,268","132,314","118","6,101","0","3,228","8,118","8,546","63,623"
"        Margin of Error","","±2,238","±3,049","±3,038","±1,718","±1,444","±1,664","±1,281","±2,534","±560","±2,172","±2,485","","±2,538","±1,519","±2,771","±1,960","±1,357","±981","±591","","±2,202","","±2,419","±2,086","±95","±1,319","±216","±1,488","±2,334","±205","±1,649"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","89,054","73.4%","70.6%","9.5%","11.8%","30.9%","6.2%","21.3%","1.3%","23.2%","17.8%","","54,265","18.4%","40.6%","23.1%","9.6%","6.2%","2.1%","","216,147","","30.7%","61.2%","0.1%","2.8%","0.0%","1.5%","3.8%","4.0%","29.4%"
"        Margin of Error","","±2,238","±2.3","±2.5","±1.9","±1.7","±1.9","±1.4","±2.7","±0.6","±2.4","±2.7","","±2,538","±3.0","±4.3","±3.4","±2.4","±1.8","±1.1","","±2,202","","±1.0","±1.0","±0.1","±0.6","±0.1","±0.7","±1.1","±0.1","±0.7"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","67,451","66,202","65,975","21,335","30,623","19,149","9,528","(X)","4,390","27,527","12,902","","80,554","64,048","57,087","120,915","72,207","142,246","91,250","","28,391","","41,280","22,639","N","34,971","N","14,570","17,352","15,503","42,465"
"        Margin of Error","","±4,314","±3,975","±3,946","±6,946","±21,214","±1,155","±1,387","(X)","±2,315","±4,218","±1,917","","±6,939","±27,399","±6,494","±11,157","±17,531","±21,491","±16,790","","±1,850","","±3,400","±2,449","N","±8,312","N","±6,111","±6,998","±6,022","±3,542"
"Shelby County School District, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","54,505","45,151","43,753","4,623","9,285","14,814","853","3,406","519","13,266","5,964","","39,550","4,738","11,984","14,351","3,779","3,979","719","","140,671","","109,532","15,377","200","1,217","0","4,820","9,525","8,114","107,384"
"        Margin of Error","","±1,746","±1,571","±1,634","±1,150","±1,559","±1,567","±323","±908","±352","±1,681","±1,236","","±1,907","±955","±1,619","±1,811","±1,189","±996","±367","","±1,492","","±3,334","±2,379","±271","±563","±216","±1,600","±2,193","±1,410","±3,057"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","54,505","82.8%","80.3%","8.5%","17.0%","27.2%","1.6%","6.2%","1.0%","24.3%","10.9%","","39,550","12.0%","30.3%","36.3%","9.6%","10.1%","1.8%","","140,671","","77.9%","10.9%","0.1%","0.9%","0.0%","3.4%","6.8%","5.8%","76.3%"
"        Margin of Error","","±1,746","±2.4","±2.5","±2.1","±2.7","±2.6","±0.6","±1.7","±0.6","±3.0","±2.2","","±1,907","±2.3","±4.0","±4.1","±2.9","±2.5","±0.9","","±1,492","","±2.3","±1.7","±0.2","±0.4","±0.1","±1.1","±1.6","±1.0","±2.1"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","106,301","104,682","104,388","34,438","22,186","25,429","10,578","(X)","4,574","29,493","13,759","","126,891","74,576","102,151","145,051","103,058","197,034","258,615","","41,021","","44,242","27,937","N","80,969","N","27,505","26,889","21,863","44,858"
"        Margin of Error","","±7,411","±7,801","±8,092","±11,410","±11,657","±1,961","±1,368","(X)","±3,004","±3,909","±2,868","","±9,615","±14,958","±20,297","±13,452","±17,734","±36,456","±139,516","","±2,682","","±3,290","±5,243","N","±28,772","N","±12,332","±7,517","±5,987","±3,337"
"Tuscaloosa City School District, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","38,879","30,230","29,831","2,910","4,755","10,409","2,635","5,485","1,688","6,302","4,572","","21,939","3,534","8,659","6,224","2,302","1,220","0","","100,104","","45,408","45,877","0","2,908","0","1,626","4,285","5,654","43,940"
"        Margin of Error","","±2,810","±2,900","±2,879","±891","±1,071","±1,696","±1,075","±1,381","±768","±1,290","±1,351","","±2,349","±925","±1,969","±1,544","±923","±584","±216","","±623","","±3,929","±4,247","±216","±761","±216","±1,163","±1,472","±1,626","±3,645"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","38,879","77.8%","76.7%","7.5%","12.2%","26.8%","6.8%","14.1%","4.3%","16.2%","11.8%","","21,939","16.1%","39.5%","28.4%","10.5%","5.6%","0.0%","","100,104","","45.4%","45.8%","0.0%","2.9%","0.0%","1.6%","4.3%","5.6%","43.9%"
"        Margin of Error","","±2,810","±3.6","±3.8","±2.2","±2.8","±4.4","±2.8","±3.5","±1.9","±3.4","±3.5","","±2,349","±4.3","±6.8","±6.3","±4.2","±2.8","±0.9","","±623","","±3.9","±4.2","±0.2","±0.8","±0.2","±1.2","±1.5","±1.6","±3.6"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","70,938","73,032","70,945","31,410","26,827","17,855","8,327","(X)","2,970","25,844","10,277","","86,247","35,436","62,151","134,719","74,469","179,390","-","","29,076","","35,802","20,801","N","53,377","N","N","35,489","20,725","36,459"
"        Margin of Error","","±7,561","±8,596","±8,460","±13,395","±18,489","±1,437","±1,327","(X)","±2,501","±5,998","±5,448","","±11,594","±11,625","±15,324","±20,482","±15,317","±80,667","**","","±3,406","","±4,775","±4,519","N","±32,986","N","N","±18,614","±5,640","±4,863"
"Tuscaloosa County School District, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","47,815","36,886","36,370","5,538","6,631","14,873","2,071","4,887","1,022","12,852","6,469","","34,434","5,666","10,693","11,064","2,509","3,358","1,144","","126,903","","91,777","27,338","168","380","0","804","6,436","3,834","91,286"
"        Margin of Error","","±2,360","±2,132","±2,072","±1,682","±1,521","±1,911","±781","±1,461","±649","±2,068","±1,600","","±1,886","±1,169","±1,578","±1,562","±920","±1,177","±701","","±623","","±3,793","±4,115","±206","±325","±216","±645","±2,418","±1,626","±3,755"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","47,815","77.1%","76.1%","11.6%","13.9%","31.1%","4.3%","10.2%","2.1%","26.9%","13.5%","","34,434","16.5%","31.1%","32.1%","7.3%","9.8%","3.3%","","126,903","","72.3%","21.5%","0.1%","0.3%","0.0%","0.6%","5.1%","3.0%","71.9%"
"        Margin of Error","","±2,360","±3.4","±3.4","±3.5","±3.1","±3.6","±1.7","±3.0","±1.4","±4.1","±3.2","","±1,886","±3.1","±4.4","±4.3","±2.6","±3.4","±2.0","","±623","","±3.0","±3.2","±0.2","±0.3","±0.2","±0.5","±1.9","±1.3","±3.0"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","86,746","88,723","85,774","27,634","9,952","22,796","10,995","(X)","2,495","26,531","16,045","","104,096","53,425","72,592","143,917","73,643","159,029","169,952","","32,939","","34,987","30,369","N","N","N","19,828","17,164","14,147","35,156"
"        Margin of Error","","±7,499","±8,285","±8,022","±10,806","±5,177","±2,107","±1,641","(X)","±2,278","±4,645","±3,816","","±8,611","±6,996","±11,893","±18,636","±17,470","±28,058","±45,888","","±2,668","","±3,380","±9,266","N","N","N","±8,951","±6,505","±6,390","±3,376"
"Anchorage School District, Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","109,584","92,221","89,332","11,849","41,338","22,768","5,673","14,530","7,859","25,412","30,398","","68,583","6,584","22,487","23,854","6,189","6,601","2,868","","288,121","","164,330","14,744","19,194","27,525","9,011","10,260","43,057","27,833","158,476"
"        Margin of Error","","±2,068","±2,933","±2,863","±1,803","±3,024","±1,728","±1,342","±1,856","±1,553","±2,192","±2,987","","±2,731","±1,342","±2,478","±2,275","±1,355","±1,520","±1,184","","*****","","±2,092","±1,876","±2,699","±2,164","±827","±2,520","±4,358","*****","±1,084"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","109,584","84.2%","81.5%","10.8%","37.7%","20.8%","5.2%","13.3%","7.2%","23.2%","27.7%","","68,583","9.6%","32.8%","34.8%","9.0%","9.6%","4.2%","","288,121","","57.0%","5.1%","6.7%","9.6%","3.1%","3.6%","14.9%","9.7%","55.0%"
"        Margin of Error","","±2,068","±1.9","±1.9","±1.6","±2.7","±1.6","±1.2","±1.7","±1.4","±2.0","±2.6","","±2,731","±2.0","±3.3","±2.8","±2.0","±2.2","±1.7","","*****","","±0.7","±0.7","±0.9","±0.8","±0.3","±0.9","±1.5","*****","±0.4"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","110,358","105,310","102,509","46,795","13,464","19,855","11,376","(X)","4,294","38,503","9,750","","131,091","100,933","101,917","149,921","106,103","217,997","126,340","","43,165","","53,175","31,819","32,143","32,011","17,494","35,174","28,171","25,250","54,324"
"        Margin of Error","","±5,030","±5,742","±5,888","±11,507","±4,260","±1,717","±2,078","(X)","±1,072","±4,043","±1,335","","±6,831","±27,212","±10,548","±10,432","±16,808","±36,591","±14,267","","±1,842","","±2,409","±5,672","±11,208","±5,745","±3,405","±8,756","±3,484","±3,185","±2,514"
"Matanuska-Susitna Borough School District, Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","40,997","32,253","30,738","4,985","16,592","10,217","2,390","4,577","2,620","10,441","17,694","","29,343","4,500","11,101","8,354","2,353","2,293","742","","110,686","","84,657","1,088","6,778","2,252","530","2,655","12,726","6,198","83,185"
"        Margin of Error","","±865","±1,184","±1,217","±786","±1,404","±680","±536","±769","±698","±908","±1,423","","±1,281","±643","±1,089","±1,055","±541","±466","±350","","*****","","±1,429","±275","±1,120","±447","±158","±680","±1,844","*****","±1,316"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","40,997","78.7%","75.0%","12.2%","40.5%","24.9%","5.8%","11.2%","6.4%","25.5%","43.2%","","29,343","15.3%","37.8%","28.5%","8.0%","7.8%","2.5%","","110,686","","76.5%","1.0%","6.1%","2.0%","0.5%","2.4%","11.5%","5.6%","75.2%"
"        Margin of Error","","±865","±2.0","±2.4","±1.8","±3.3","±1.7","±1.3","±1.9","±1.7","±2.3","±3.2","","±1,281","±2.0","±3.2","±3.4","±1.8","±1.6","±1.2","","*****","","±1.3","±0.2","±1.0","±0.4","±0.1","±0.6","±1.7","*****","±1.2"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","100,718","97,943","96,529","38,479","12,830","20,629","8,781","(X)","3,311","36,099","7,910","","112,333","67,449","88,393","148,701","111,983","173,159","146,363","","37,420","","40,774","18,466","21,561","20,837","29,343","31,101","29,765","31,617","41,210"
"        Margin of Error","","±5,364","±5,983","±5,413","±10,521","±5,721","±1,386","±968","(X)","±506","±3,771","±1,124","","±6,530","±12,448","±9,462","±11,661","±16,422","±17,958","±34,546","","±1,927","","±2,132","±11,755","±6,167","±9,611","±8,299","±12,175","±6,369","±9,057","±2,181"
"Fairbanks North Star Borough School District, Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","36,426","29,907","29,678","3,746","12,730","7,493","971","3,024","1,544","7,238","8,193","","22,549","N","N","N","N","N","N","","95,593","","66,204","3,913","5,318","3,101","339","2,051","14,667","7,990","64,186"
"        Margin of Error","","±1,589","±1,754","±1,695","±1,109","±1,665","±858","±553","±922","±665","±1,416","±1,636","","±1,859","N","N","N","N","N","N","","*****","","±1,400","±1,056","±1,455","±724","±522","±1,167","±2,310","*****","±1,040"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","36,426","82.1%","81.5%","10.3%","34.9%","20.6%","2.7%","8.3%","4.2%","19.9%","22.5%","","22,549","N","N","N","N","N","N","","95,593","","69.3%","4.1%","5.6%","3.2%","0.4%","2.1%","15.3%","8.4%","67.1%"
"        Margin of Error","","±1,589","±3.5","±3.5","±3.1","±4.5","±2.4","±1.5","±2.5","±1.8","±3.7","±4.6","","±1,859","N","N","N","N","N","N","","*****","","±1.5","±1.1","±1.5","±0.8","±0.5","±1.2","±2.4","*****","±1.1"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","92,218","90,210","88,768","16,935","8,747","18,740","9,915","(X)","2,648","42,366","10,876","","107,519","N","N","N","N","N","N","","37,885","","42,018","32,101","17,089","29,532","N","15,642","33,363","32,570","42,177"
"        Margin of Error","","±7,645","±6,837","±7,052","±7,100","±3,759","±2,452","±3,102","(X)","±1,166","±8,943","±5,928","","±8,702","N","N","N","N","N","N","","±2,614","","±3,183","±10,005","±6,143","±14,966","N","±10,663","±5,726","±7,083","±3,184"
"Cave Creek Unified District, Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","29,106","19,822","18,474","3,551","11,377","12,418","619","419","310","10,578","3,019","","22,031","N","N","N","N","N","N","","67,281","","60,188","606","138","2,957","0","497","2,895","2,644","58,757"
"        Margin of Error","","±1,669","±1,800","±1,726","±1,015","±1,440","±1,217","±376","±257","±184","±1,359","±759","","±1,658","N","N","N","N","N","N","","±4,761","","±4,667","±887","±192","±1,855","±224","±382","±1,019","±1,263","±4,361"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","29,106","68.1%","63.5%","12.2%","39.1%","42.7%","2.1%","1.4%","1.1%","36.3%","10.4%","","22,031","N","N","N","N","N","N","","67,281","","89.5%","0.9%","0.2%","4.4%","0.0%","0.7%","4.3%","3.9%","87.3%"
"        Margin of Error","","±1,669","±3.9","±3.9","±3.4","±4.6","±4.0","±1.3","±0.9","±0.6","±4.3","±2.6","","±1,658","N","N","N","N","N","N","","±4,761","","±3.1","±1.3","±0.3","±2.7","±0.3","±0.6","±1.5","±1.8","±3.4"
