"Label (Grouping)","HOUSEHOLD INCOME","HOUSEHOLD INCOME!!All households","HOUSEHOLD INCOME!!All households!!With earnings","HOUSEHOLD INCOME!!All households!!With earnings!!With wages or salary income","HOUSEHOLD INCOME!!All households!!With earnings!!With self-employment income","HOUSEHOLD INCOME!!All households!!With interest, dividends, or net rental income","HOUSEHOLD INCOME!!All households!!With Social Security income","HOUSEHOLD INCOME!!All households!!With Supplemental Security Income (SSI)","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP!!With cash public assistance","HOUSEHOLD INCOME!!All households!!With retirement income","HOUSEHOLD INCOME!!All households!!With other types of income","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!White","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Black or African American","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!American Indian and Alaska Native","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Asian","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Native Hawaiian and Other Pacific Islander","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Some other race","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino origin (of any race)","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!White alone, not Hispanic or Latino"
"        Estimate","","29,643","20,934","20,365","2,806","4,366","11,145","932","3,617","186","7,480","4,504","","19,881","4,224","6,741","5,183","2,039","1,047","647","","81,910","","60,739","17,045","167","88","0","338","3,533","N","N"
"        Margin of Error","","±1,541","±1,713","±1,740","±998","±904","±1,306","±519","±1,272","±174","±1,114","±1,362","","±1,703","±1,229","±1,636","±1,331","±896","±493","±520","","±2,723","","±2,160","±1,589","±187","±121","±216","±440","±2,016","N","N"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","29,643","70.6%","68.7%","9.5%","14.7%","37.6%","3.1%","12.2%","0.6%","25.2%","15.2%","","19,881","21.2%","33.9%","26.1%","10.3%","5.3%","3.3%","","81,910","","74.2%","20.8%","0.2%","0.1%","0.0%","0.4%","4.3%","N","N"
"        Margin of Error","","±1,541","±4.1","±4.3","±3.3","±3.1","±4.5","±1.7","±4.1","±0.6","±3.8","±4.3","","±1,703","±5.7","±7.2","±6.7","±4.6","±2.5","±2.6","","±2,723","","±2.1","±1.9","±0.2","±0.1","±0.2","±0.5","±2.4","N","N"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","76,155","77,294","69,752","70,411","25,963","19,860","10,060","(X)","N","28,290","18,490","","87,586","60,120","64,666","113,178","95,470","186,573","115,676","","28,945","","32,066","18,974","N","N","N","N","14,334","N","N"
"        Margin of Error","","±6,924","±8,690","±7,653","±37,858","±14,738","±1,889","±6,854","(X)","N","±4,296","±8,028","","±9,781","±13,669","±11,353","±21,034","±17,887","±75,445","±19,933","","±2,493","","±2,997","±3,807","N","N","N","N","±8,406","N","N"
"Huntsville City School District, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","96,461","76,368","74,371","8,186","24,098","24,718","4,238","9,152","2,269","26,142","11,970","","54,297","8,669","19,579","16,237","5,505","3,094","1,213","","215,315","","132,669","52,568","1,024","4,160","373","2,963","21,558","12,943","130,905"
"        Margin of Error","","±2,687","±2,755","±2,872","±1,378","±3,051","±1,845","±1,184","±1,821","±1,141","±2,410","±2,269","","±3,263","±1,603","±3,021","±2,489","±1,584","±1,168","±766","","±1,735","","±5,363","±5,174","±869","±1,282","±390","±1,400","±3,596","±2,251","±5,238"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","96,461","79.2%","77.1%","8.5%","25.0%","25.6%","4.4%","9.5%","2.4%","27.1%","12.4%","","54,297","16.0%","36.1%","29.9%","10.1%","5.7%","2.2%","","215,315","","61.6%","24.4%","0.5%","1.9%","0.2%","1.4%","10.0%","6.0%","60.8%"
"        Margin of Error","","±2,687","±2.0","±2.1","±1.4","±3.0","±1.9","±1.2","±1.8","±1.2","±2.4","±2.3","","±3,263","±2.9","±5.0","±4.3","±2.8","±2.1","±1.4","","±1,735","","±2.4","±2.4","±0.4","±0.6","±0.2","±0.7","±1.7","±1.0","±2.3"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","95,893","95,253","94,136","33,383","17,080","20,409","9,517","(X)","2,645","32,366","13,964","","121,006","69,573","96,069","171,183","96,092","174,874","195,109","","42,247","","51,393","24,630","N","48,160","N","21,306","30,397","28,342","51,621"
"        Margin of Error","","±6,472","±6,576","±6,606","±9,885","±5,402","±1,477","±1,115","(X)","±1,346","±4,489","±3,427","","±11,105","±12,506","±14,697","±27,048","±18,345","±35,060","±107,648","","±2,516","","±3,684","±3,485","N","±12,850","N","±8,296","±6,676","±6,558","±3,750"
"Jefferson County School District, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","94,761","72,033","70,222","8,435","12,221","34,404","6,600","13,088","2,401","24,519","10,525","","61,338","9,324","23,595","14,376","8,789","3,763","1,491","","242,571","","132,782","95,527","510","845","206","3,531","9,170","6,385","131,810"
"        Margin of Error","","±3,392","±3,498","±3,438","±2,038","±1,708","±2,217","±1,449","±2,673","±1,183","±2,219","±1,797","","±2,933","±1,518","±2,931","±2,009","±1,784","±1,219","±684","","±6,037","","±6,688","±7,543","±386","±558","±251","±1,804","±2,278","±1,900","±6,562"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","94,761","76.0%","74.1%","8.9%","12.9%","36.3%","7.0%","13.8%","2.5%","25.9%","11.1%","","61,338","15.2%","38.5%","23.4%","14.3%","6.1%","2.4%","","242,571","","54.7%","39.4%","0.2%","0.3%","0.1%","1.5%","3.8%","2.6%","54.3%"
"        Margin of Error","","±3,392","±2.1","±2.1","±2.1","±1.7","±2.2","±1.6","±2.8","±1.3","±2.3","±1.9","","±2,933","±2.4","±4.0","±3.2","±2.9","±2.0","±1.1","","±6,037","","±2.5","±2.8","±0.2","±0.2","±0.1","±0.8","±0.9","±0.8","±2.5"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","68,492","68,254","66,971","25,332","10,915","20,147","10,848","(X)","N","20,962","14,307","","78,701","46,608","59,366","109,336","85,543","133,110","112,348","","27,565","","30,903","23,575","20,215","51,438","N","16,509","23,178","19,167","30,943"
